14.12.2018 RGB-PI Database for MAME 2000 (0.37b5) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.
hunchbks 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
scobra 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
scobras 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
scobrab 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
stratgyx 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
stratgys 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
armorcar 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
armorca2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
moonwar2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
monwar2a 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
spdcoin 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
darkplnt 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
tazmania 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
tazmani2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
calipso 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
anteater 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
rescue 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
minefld 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
losttomb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
losttmbh 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
superbon 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
hustler 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
billiard 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
hustlerb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
frogger 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
frogseg1 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
frogseg2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
froggrmc 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
amidar 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
amidaru 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
amidaro 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
amigo 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
turtles 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
turpin 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
600 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
flyboy 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
flyboyb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
fastfred 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
jumpcoas 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
cclimber 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
cclimbrj 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
ccboot 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
ccboot2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
ckong 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ckonga 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ckongjeu 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ckongo 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ckongalc 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
monkeyd 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
rpatrolb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
silvland 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
yamato 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
yamato2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
swimmer 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
swimmera 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
guzzler 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
friskyt 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
radrad 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
seicross 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
sectrzon 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
wiping 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
rugrats 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
cop01 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
cop01a 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
terracre 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
terracrb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
terracra 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galivan 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galivan2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
dangar 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
dangar2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
dangarb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ninjemak 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
youma 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
terraf 1920 240 57.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
terrafu 1920 240 57.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
kodure 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
armedf 1920 240 57.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
cclimbr2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
safarir 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
phoenix 1920 208 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
phoenixa 1920 208 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
phoenixt 1920 208 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
phoenix3 1920 208 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
phoenixc 1920 208 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pleiads 1920 208 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pleiadbl 1920 208 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pleiadce 1920 208 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
naughtyb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
naughtya 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
naughtyc 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
popflame 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
popflama 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
geebee 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
geebeeg 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
bombbee 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
cutieq 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
navalone 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
kaitei 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
kaitein 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
sos 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
tankbatt 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
warpwarp 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
warpwarr 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
warpwar2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
rallyx 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
rallyxm 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
nrallyx 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
jungler 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
junglers 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
locomotn 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
gutangtn 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
cottong 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
commsega 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
bosco 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
boscoo 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
boscoo2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
boscomd 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
boscomdo 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
galaga 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galagamw 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galagads 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
gallag 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galagab2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galaga84 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
nebulbee 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
digdug 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
digdugb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
digdugat 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
dzigzag 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
xevious 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
xeviousa 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
xevios 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
sxevious 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
superpac 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
superpcm 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacnpal 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacnpal2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacnchmp 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
phozon 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mappy 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mappyjp 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
digdug2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
digdug2a 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
todruaga 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
todruagb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
motos 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
grobda 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
grobda2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
grobda3 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
gaplus 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
gaplusa 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galaga3 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galaga3a 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
toypop 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
polepos 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
poleposa 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
polepos1 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
topracer 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
polepos2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
poleps2a 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
poleps2b 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
poleps2c 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
pacland 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
pacland2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
pacland3 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
paclandm 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
drgnbstr 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
skykid 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
baraduke 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
metrocrs 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
hopmappy 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
skykiddx 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
skykiddo 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
roishtar 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
genpeitd 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
rthunder 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
rthundro 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
wndrmomo 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
shadowld 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
youkaidk 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
yokaidko 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
dspirit 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
dspirito 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
blazer 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
quester 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacmania 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacmanij 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galaga88 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galag88b 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galag88j 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ws 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
berabohm 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
mmaze 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
wldcourt 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
splatter 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
faceoff 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
rompers 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
romperso 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
blastoff 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ws89 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
dangseed 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ws90 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
pistoldm 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
soukobdx 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
puzlclub 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
tankfrce 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
tankfrcj 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
assault 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
assaultj 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
assaultp 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
